"player_id","player_name","team","position","age","performance_score","match_id","competition","match_date","home_team","away_team","score_home","score_away","match_result"
"1331","Lucas Perri","Leeds United FC","Goalkeeper","27","97","537794","Premier League","2025-08-18 20:00:00+01","Leeds United FC","Everton FC","1","0","Win"
"1331","Lucas Perri","Leeds United FC","Goalkeeper","27","97","537797","Premier League","2025-08-23 17:30:00+01","Arsenal FC","Leeds United FC","5","0","Loss"
"5315","Alex Cairns","Leeds United FC","Goalkeeper","32","89.5","537794","Premier League","2025-08-18 20:00:00+01","Leeds United FC","Everton FC","1","0","Win"
"5315","Alex Cairns","Leeds United FC","Goalkeeper","32","89.5","537797","Premier League","2025-08-23 17:30:00+01","Arsenal FC","Leeds United FC","5","0","Loss"
"7913","Karl Darlow","Leeds United FC","Goalkeeper","34","86.5","537794","Premier League","2025-08-18 20:00:00+01","Leeds United FC","Everton FC","1","0","Win"
"7913","Karl Darlow","Leeds United FC","Goalkeeper","34","86.5","537797","Premier League","2025-08-23 17:30:00+01","Arsenal FC","Leeds United FC","5","0","Loss"
"74831","Illan Meslier","Leeds United FC","Goalkeeper","25","100","537794","Premier League","2025-08-18 20:00:00+01","Leeds United FC","Everton FC","1","0","Win"
"74831","Illan Meslier","Leeds United FC","Goalkeeper","25","100","537797","Premier League","2025-08-23 17:30:00+01","Arsenal FC","Leeds United FC","5","0","Loss"
"204504","Darko Gyabi","Leeds United FC","Midfield","21","106","537794","Premier League","2025-08-18 20:00:00+01","Leeds United FC","Everton FC","1","0","Win"
"204504","Darko Gyabi","Leeds United FC","Midfield","21","106","537797","Premier League","2025-08-23 17:30:00+01","Arsenal FC","Leeds United FC","5","0","Loss"
"265196","Sam Chambers","Leeds United FC","Midfield","18","110.5","537794","Premier League","2025-08-18 20:00:00+01","Leeds United FC","Everton FC","1","0","Win"
"265196","Sam Chambers","Leeds United FC","Midfield","18","110.5","537797","Premier League","2025-08-23 17:30:00+01","Arsenal FC","Leeds United FC","5","0","Loss"
"180813","Wilfried Gnonto","Leeds United FC","Right Winger","21","106","537794","Premier League","2025-08-18 20:00:00+01","Leeds United FC","Everton FC","1","0","Win"
"180813","Wilfried Gnonto","Leeds United FC","Right Winger","21","106","537797","Premier League","2025-08-23 17:30:00+01","Arsenal FC","Leeds United FC","5","0","Loss"
"157406","Sam Greenwood","Leeds United FC","Attacking Midfield","23","103","537794","Premier League","2025-08-18 20:00:00+01","Leeds United FC","Everton FC","1","0","Win"
"157406","Sam Greenwood","Leeds United FC","Attacking Midfield","23","103","537797","Premier League","2025-08-23 17:30:00+01","Arsenal FC","Leeds United FC","5","0","Loss"
"136349","Largie Ramazani","Leeds United FC","Left Winger","24","101.5","537794","Premier League","2025-08-18 20:00:00+01","Leeds United FC","Everton FC","1","0","Win"
"136349","Largie Ramazani","Leeds United FC","Left Winger","24","101.5","537797","Premier League","2025-08-23 17:30:00+01","Arsenal FC","Leeds United FC","5","0","Loss"
"122231","Isaac Schmidt","Leeds United FC","Left-Back","25","100","537794","Premier League","2025-08-18 20:00:00+01","Leeds United FC","Everton FC","1","0","Win"
"122231","Isaac Schmidt","Leeds United FC","Left-Back","25","100","537797","Premier League","2025-08-23 17:30:00+01","Arsenal FC","Leeds United FC","5","0","Loss"
"113262","Brenden Aaronson","Leeds United FC","Attacking Midfield","24","101.5","537794","Premier League","2025-08-18 20:00:00+01","Leeds United FC","Everton FC","1","0","Win"
"113262","Brenden Aaronson","Leeds United FC","Attacking Midfield","24","101.5","537797","Premier League","2025-08-23 17:30:00+01","Arsenal FC","Leeds United FC","5","0","Loss"
"75284","Ilia Gruev","Leeds United FC","Defensive Midfield","25","100","537794","Premier League","2025-08-18 20:00:00+01","Leeds United FC","Everton FC","1","0","Win"
"75284","Ilia Gruev","Leeds United FC","Defensive Midfield","25","100","537797","Premier League","2025-08-23 17:30:00+01","Arsenal FC","Leeds United FC","5","0","Loss"
"74688","Jaka Bijol","Leeds United FC","Centre-Back","26","98.5","537794","Premier League","2025-08-18 20:00:00+01","Leeds United FC","Everton FC","1","0","Win"
"74688","Jaka Bijol","Leeds United FC","Centre-Back","26","98.5","537797","Premier League","2025-08-23 17:30:00+01","Arsenal FC","Leeds United FC","5","0","Loss"
